created_at,customer_id,customer_gmv,customer_category,customer_group
2023-10-19,98,124,hobby,50+
2023-10-19,183,80,hobby,10
2023-10-19,268,60,books,50
2023-10-19,434,32,home,5
2023-10-20,39,64,food,5
2023-10-20,64,80,food,5
2023-10-20,98,124,home,25
2023-10-20,183,80,food,5
2023-10-20,268,60,food,25
2023-10-20,292,36,food,25
2023-10-20,401,36,food,5
2023-10-20,419,28,food,10
2023-10-20,434,32,books,25
2023-10-20,454,24,books,5
2023-10-20,505,84,food,25
2023-10-20,507,12,food,25
2023-10-20,576,80,home,25
2023-10-20,675,28,food,50+
2023-10-20,742,52,home,10
2023-10-20,814,24,food,50
2023-10-20,844,36,home,10
2023-10-21,5,104,food,25
2023-10-21,8,64,books,50+
2023-10-21,39,64,home,10
2023-10-21,64,80,home,5
2023-10-21,72,48,food,50
2023-10-21,85,32,hobby,50
2023-10-21,98,124,books,10
2023-10-21,183,80,food,10
2023-10-21,247,56,food,25
2023-10-21,268,60,food,50
2023-10-21,286,4,hobby,50
2023-10-21,292,36,hobby,50
2023-10-21,334,60,hobby,10
2023-10-21,354,64,food,5
2023-10-21,366,88,home,10
2023-10-21,401,36,books,5
2023-10-21,419,28,food,10
2023-10-21,434,32,hobby,10
2023-10-21,454,24,food,5
2023-10-21,468,60,books,10
2023-10-21,505,84,books,50+
2023-10-21,507,12,food,50
2023-10-21,576,80,books,50
2023-10-21,613,80,hobby,50
2023-10-21,625,104,food,50+
2023-10-21,675,28,home,50+
2023-10-21,742,52,books,25
2023-10-21,750,60,books,5
2023-10-21,814,24,hobby,50+
2023-10-21,844,36,home,25
2023-10-22,5,104,food,50
2023-10-22,8,64,books,50
2023-10-22,39,64,home,50
2023-10-22,43,88,food,50
2023-10-22,64,80,books,25
2023-10-22,72,48,books,50
2023-10-22,85,32,food,50
2023-10-22,98,124,food,10
2023-10-22,166,12,hobby,50
2023-10-22,183,80,hobby,10
2023-10-22,187,52,books,10
2023-10-22,214,68,hobby,10
2023-10-22,247,56,books,50+
2023-10-22,268,60,food,50+
2023-10-22,286,4,food,25
2023-10-22,292,36,home,5
2023-10-22,329,16,home,50
2023-10-22,334,60,hobby,50+
2023-10-22,354,64,food,50
2023-10-22,366,88,food,50+
2023-10-22,392,32,books,50+
2023-10-22,401,36,food,5
2023-10-22,419,28,books,50
2023-10-22,434,32,hobby,25
2023-10-22,454,24,home,5
2023-10-22,468,60,books,5
2023-10-22,479,124,books,50
2023-10-22,505,84,food,25
2023-10-22,507,12,home,25
2023-10-22,538,16,hobby,50+
2023-10-22,576,80,hobby,50
2023-10-22,613,80,home,50+
2023-10-22,625,104,hobby,50+
2023-10-22,663,84,hobby,10
2023-10-22,673,80,home,25
2023-10-22,674,96,home,50+
2023-10-22,675,28,books,5
2023-10-22,706,56,books,50+
2023-10-22,742,52,home,5
2023-10-22,750,60,home,50+
2023-10-22,814,24,home,50+
2023-10-22,844,36,home,50
2023-10-23,5,104,books,50
2023-10-23,8,64,home,50+
2023-10-23,14,60,home,50+
2023-10-23,20,112,food,10
2023-10-23,39,64,food,25
2023-10-23,43,88,home,5
2023-10-23,64,80,books,50
2023-10-23,72,48,food,25
2023-10-23,75,24,home,10
2023-10-23,85,32,hobby,50
2023-10-23,98,124,books,50
2023-10-23,144,88,books,50
2023-10-23,163,40,hobby,50
2023-10-23,166,12,hobby,10
2023-10-23,183,80,hobby,50+
2023-10-23,187,52,books,50+
2023-10-23,190,92,home,50+
2023-10-23,214,68,home,50
2023-10-23,247,56,books,5
2023-10-23,268,60,home,10
2023-10-23,286,4,food,50
2023-10-23,292,36,food,5
2023-10-23,329,16,home,50
2023-10-23,334,60,home,50
2023-10-23,335,52,hobby,50
2023-10-23,354,64,hobby,25
2023-10-23,366,88,home,10
2023-10-23,392,32,food,25
2023-10-23,396,80,hobby,50+
2023-10-23,401,36,home,50
2023-10-23,419,44,books,50
2023-10-23,434,32,home,25
2023-10-23,454,24,hobby,50
2023-10-23,462,32,hobby,50
2023-10-23,468,60,books,50+
2023-10-23,479,124,home,25
2023-10-23,492,56,books,25
2023-10-23,504,64,hobby,25
2023-10-23,505,84,food,50
2023-10-23,507,12,hobby,50+
2023-10-23,538,16,books,5
2023-10-23,576,80,books,10
2023-10-23,613,80,food,50
2023-10-23,625,104,hobby,50
2023-10-23,663,84,food,25
2023-10-23,670,48,books,10
2023-10-23,673,80,hobby,5
2023-10-23,674,96,books,25
2023-10-23,675,28,home,50+
2023-10-23,706,56,home,25
2023-10-23,742,52,hobby,10
2023-10-23,750,60,hobby,25
2023-10-23,803,40,home,10
2023-10-23,804,16,hobby,10
2023-10-23,814,24,food,50+
2023-10-23,844,36,food,25
2023-10-23,883,76,books,5
2023-10-24,5,104,hobby,25
2023-10-24,8,64,books,5
2023-10-24,14,60,hobby,50+
2023-10-24,20,112,home,50+
2023-10-24,39,64,hobby,5
2023-10-24,43,88,food,50+
2023-10-24,64,80,home,50+
2023-10-24,72,48,food,10
2023-10-24,75,24,hobby,10
2023-10-24,85,32,hobby,5
2023-10-24,98,124,home,50+
2023-10-24,144,88,home,25
2023-10-24,163,40,hobby,50
2023-10-24,166,12,food,25
2023-10-24,183,80,hobby,50+
2023-10-24,187,52,books,50
2023-10-24,190,92,books,5
2023-10-24,214,68,books,5
2023-10-24,247,56,hobby,50+
2023-10-24,268,60,food,50+
2023-10-24,275,4,home,10
2023-10-24,286,4,books,25
2023-10-24,292,36,food,50
2023-10-24,329,16,hobby,50+
2023-10-24,334,60,books,50
2023-10-24,335,52,books,10
2023-10-24,354,64,hobby,50
2023-10-24,366,88,food,25
2023-10-24,392,32,hobby,5
2023-10-24,396,80,books,5
2023-10-24,401,36,food,25
2023-10-24,419,44,home,50+
2023-10-24,434,32,food,50+
2023-10-24,454,24,home,50
2023-10-24,462,32,books,5
2023-10-24,464,36,hobby,10
2023-10-24,468,60,food,50+
2023-10-24,479,124,hobby,50
2023-10-24,492,56,home,10
2023-10-24,504,64,home,25
2023-10-24,505,84,books,10
2023-10-24,507,12,food,5
2023-10-24,513,24,hobby,10
2023-10-24,538,16,hobby,25
2023-10-24,576,80,hobby,5
2023-10-24,613,80,books,25
2023-10-24,625,104,home,5
2023-10-24,663,84,food,10
2023-10-24,670,48,food,50
2023-10-24,673,80,home,5
2023-10-24,674,96,food,5
2023-10-24,675,28,hobby,5
2023-10-24,706,56,food,25
2023-10-24,742,52,home,10
2023-10-24,750,60,home,50+
2023-10-24,802,36,books,50+
2023-10-24,803,40,home,50+
2023-10-24,804,16,hobby,25
2023-10-24,814,24,home,50+
2023-10-24,844,36,food,25
2023-10-24,883,76,books,25
2023-10-25,5,104,home,50
2023-10-25,8,64,books,50+
2023-10-25,14,60,hobby,50+
2023-10-25,20,112,books,50
2023-10-25,39,64,home,25
2023-10-25,43,88,hobby,5
2023-10-25,64,80,home,25
2023-10-25,72,48,hobby,5
2023-10-25,75,24,food,25
2023-10-25,85,32,books,50+
2023-10-25,98,124,home,50+
2023-10-25,113,36,home,10
2023-10-25,141,24,books,10
2023-10-25,144,88,hobby,25
2023-10-25,163,40,books,50+
2023-10-25,166,12,hobby,50+
2023-10-25,177,44,books,50+
2023-10-25,183,80,hobby,25
2023-10-25,187,52,home,10
2023-10-25,190,92,books,50
2023-10-25,214,68,food,25
2023-10-25,247,56,home,10
2023-10-25,268,60,home,50+
2023-10-25,275,4,hobby,50+
2023-10-25,286,4,home,50
2023-10-25,292,36,hobby,50+
2023-10-25,329,16,books,50
2023-10-25,334,60,hobby,25
2023-10-25,335,52,home,25
2023-10-25,354,64,home,50+
2023-10-25,366,88,hobby,25
2023-10-25,392,32,home,10
2023-10-25,396,80,hobby,50
2023-10-25,401,36,hobby,50
2023-10-25,419,44,home,25
2023-10-25,434,32,food,50+
2023-10-25,454,24,home,50
2023-10-25,462,32,home,50+
2023-10-25,464,36,home,50
2023-10-25,468,60,home,50+
2023-10-25,479,124,food,50+
2023-10-25,492,56,books,25
2023-10-25,504,64,home,25
2023-10-25,505,84,hobby,50+
2023-10-25,507,12,food,50
2023-10-25,513,24,home,25
2023-10-25,538,16,food,5
2023-10-25,576,80,books,10
2023-10-25,613,80,home,50
2023-10-25,625,104,books,5
2023-10-25,663,84,books,50+
2023-10-25,670,48,home,50
2023-10-25,673,80,food,50
2023-10-25,674,96,books,50+
2023-10-25,675,28,hobby,5
2023-10-25,706,56,home,50
2023-10-25,742,52,food,50
2023-10-25,750,60,books,5
2023-10-25,802,36,food,25
2023-10-25,803,40,books,50+
2023-10-25,804,16,books,5
2023-10-25,814,24,hobby,5
2023-10-25,844,36,books,5
2023-10-25,883,76,food,10
2023-10-26,5,104,hobby,10
2023-10-26,8,64,food,25
2023-10-26,14,60,home,50
2023-10-26,20,112,books,10
2023-10-26,39,92,food,10
2023-10-26,43,88,books,50+
2023-10-26,64,80,books,50+
2023-10-26,72,48,hobby,10
2023-10-26,75,24,hobby,50
2023-10-26,81,72,books,50+
2023-10-26,85,32,food,50+
2023-10-26,98,124,hobby,50
2023-10-26,113,36,books,25
2023-10-26,141,24,hobby,25
2023-10-26,144,88,hobby,25
2023-10-26,163,40,hobby,25
2023-10-26,166,12,hobby,25
2023-10-26,177,44,books,50+
2023-10-26,183,80,hobby,5
2023-10-26,187,52,hobby,50+
2023-10-26,190,92,hobby,25
2023-10-26,214,68,home,5
2023-10-26,247,56,home,25
2023-10-26,268,60,home,5
2023-10-26,275,4,books,50+
2023-10-26,286,4,food,5
2023-10-26,288,40,hobby,5
2023-10-26,292,36,food,50
2023-10-26,293,12,books,10
2023-10-26,329,16,hobby,25
2023-10-26,334,60,books,10
